Date;Time;Event Name;URL;Load Time (ms);Time to First Byte (ms);unused;Bytes Out;Bytes In;DNS Lookups;Connections;Requests;OK Responses;Redirects;Not Modified;Not Found;Other Responses;Error Code;Time to Start Render (ms);Segments Transmitted;Segments Retransmitted;Packet Loss (out);Activity Time(ms);Descriptor;Lab ID;Dialer ID;Connection Type;Cached;Event URL;Pagetest Build;Measurement Type;Experimental;Doc Complete Time (ms);Event GUID;Time to DOM Element (ms);Includes Object Data;Cache Score;Static CDN Score;One CDN Score;GZIP Score;Cookie Score;Keep-Alive Score;DOCTYPE Score;Minify Score;Combine Score;Bytes Out (Doc);Bytes In (Doc);DNS Lookups (Doc);Connections (Doc);Requests (Doc);OK Responses (Doc);Redirects (Doc);Not Modified (Doc);Not Found (Doc);Other Responses (Doc);Compression Score;Host;IP Address;ETag Score;Flagged Requests;Flagged Connections;Max Simultaneous Flagged Connections;Time to Base Page Complete (ms);Base Page Result;Gzip Total Bytes;Gzip Savings;Minify Total Bytes;Minify Savings;Image Total Bytes;Image Savings;Base Page Redirects;Optimization Checked;AFT (ms);DOM Elements;PageSpeed Version;Page Title;Time to Title;Load Event Start;Load Event End;DOM Content Ready Start;DOM Content Ready End;Visually Complete (ms);Browser Name;Browser Version;Base Page Server Count;Base Page Server RTT;Base Page CDN;Adult Site;Run;Cached;Speed Index
07/18/2016;18:26:38;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1268;252;;8071;546884;2;2;65;65;0;0;0;0;0;1083;;;;1303;;;;;0;;;2;0;1268;;;1;99;0;-1;-1;-1;100;-1;-1;100;8071;546420;2;2;65;65;0;0;0;0;61;;;-1;;;;253;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;956;1254;1256;963;963;1270;Firefox;47.0.0.5999;1;43;;0;1;0;1102
07/18/2016;18:26:55;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1281;270;;7532;546810;2;2;65;65;0;0;0;0;0;1083;;;;1314;;;;;0;;;2;0;1281;;;1;99;0;-1;-1;-1;100;-1;-1;100;7532;546323;2;2;65;65;0;0;0;0;61;;;-1;;;;271;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;615;1280;1282;979;980;1283;Firefox;47.0.0.5999;1;44;;0;2;0;1102
07/18/2016;18:27:13;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1301;258;;8141;546861;2;2;65;65;0;0;0;0;0;1083;;;;1332;;;;;0;;;2;0;1301;;;1;99;0;-1;-1;-1;100;-1;-1;100;8141;546397;2;2;65;65;0;0;0;0;61;;;-1;;;;259;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;820;1293;1303;969;969;1303;Firefox;47.0.0.5999;1;40;;0;3;0;1102
07/18/2016;18:27:30;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1266;256;;7076;546855;2;2;65;65;0;0;0;0;0;1075;;;;1300;;;;;0;;;2;0;1266;;;1;99;0;-1;-1;-1;100;-1;-1;100;7076;546391;2;2;65;65;0;0;0;0;61;;;-1;;;;257;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;601;1261;1263;942;942;1268;Firefox;47.0.0.5999;1;45;;0;4;0;1102
07/18/2016;18:27:47;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1280;274;;7532;546868;2;2;65;65;0;0;0;0;0;988;;;;1310;;;;;0;;;2;0;1280;;;1;99;0;-1;-1;-1;100;-1;-1;100;7532;546381;2;2;65;65;0;0;0;0;61;;;-1;;;;275;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;601;1275;1277;962;963;1297;Firefox;47.0.0.5999;1;46;;0;5;0;1003
07/18/2016;18:28:05;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1261;266;;7476;546833;2;2;65;65;0;0;0;0;0;1028;;;;1301;;;;;0;;;2;0;1261;;;1;99;0;-1;-1;-1;100;-1;-1;100;7476;546369;2;2;65;65;0;0;0;0;61;;;-1;;;;267;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;615;1269;1271;983;983;1290;Firefox;47.0.0.5999;1;42;;0;6;0;1003
07/18/2016;18:28:22;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1291;282;;7590;546856;2;2;65;65;0;0;0;0;0;1011;;;;1325;;;;;0;;;2;0;1291;;;1;99;0;-1;-1;-1;100;-1;-1;100;7590;546392;2;2;65;65;0;0;0;0;61;;;-1;;;;283;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;614;1312;1314;976;985;1305;Firefox;47.0.0.5999;1;45;;0;7;0;1003
07/18/2016;18:28:39;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1297;280;;8212;546885;2;2;65;65;0;0;0;0;0;1079;;;;1332;;;;;0;;;2;0;1297;;;1;99;0;-1;-1;-1;100;-1;-1;100;8212;546421;2;2;65;65;0;0;0;0;61;;;-1;;;;281;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;924;1300;1302;943;944;1298;Firefox;47.0.0.5999;1;45;;0;8;0;1102
07/18/2016;18:28:56;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1255;252;;7364;546826;2;2;65;65;0;0;0;0;0;1083;;;;1290;;;;;0;;;2;0;1255;;;1;99;0;-1;-1;-1;100;-1;-1;100;7364;546362;2;2;65;65;0;0;0;0;61;;;-1;;;;253;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;583;1256;1258;923;923;1257;Firefox;47.0.0.5999;1;42;;0;9;0;1102
