Date;Time;Event Name;URL;Load Time (ms);Time to First Byte (ms);unused;Bytes Out;Bytes In;DNS Lookups;Connections;Requests;OK Responses;Redirects;Not Modified;Not Found;Other Responses;Error Code;Time to Start Render (ms);Segments Transmitted;Segments Retransmitted;Packet Loss (out);Activity Time(ms);Descriptor;Lab ID;Dialer ID;Connection Type;Cached;Event URL;Pagetest Build;Measurement Type;Experimental;Doc Complete Time (ms);Event GUID;Time to DOM Element (ms);Includes Object Data;Cache Score;Static CDN Score;One CDN Score;GZIP Score;Cookie Score;Keep-Alive Score;DOCTYPE Score;Minify Score;Combine Score;Bytes Out (Doc);Bytes In (Doc);DNS Lookups (Doc);Connections (Doc);Requests (Doc);OK Responses (Doc);Redirects (Doc);Not Modified (Doc);Not Found (Doc);Other Responses (Doc);Compression Score;Host;IP Address;ETag Score;Flagged Requests;Flagged Connections;Max Simultaneous Flagged Connections;Time to Base Page Complete (ms);Base Page Result;Gzip Total Bytes;Gzip Savings;Minify Total Bytes;Minify Savings;Image Total Bytes;Image Savings;Base Page Redirects;Optimization Checked;AFT (ms);DOM Elements;PageSpeed Version;Page Title;Time to Title;Load Event Start;Load Event End;DOM Content Ready Start;DOM Content Ready End;Visually Complete (ms);Browser Name;Browser Version;Base Page Server Count;Base Page Server RTT;Base Page CDN;Adult Site;Run;Cached;Speed Index
07.12.2016;19:04:59;Step 1;https://im-im2.hdm-stuttgart.de/;1876;270;;17427;808711;2;7;39;39;0;0;0;0;0;1312;;;;1913;;;;;0;;;2;0;1876;;;1;98;0;-1;53;-1;100;-1;-1;100;17427;808021;2;7;39;39;0;0;0;0;59;;;-1;;;;271;200;459640;215448;;;197899;80962;0;1;;194;;Medienmaster;454;1866;1877;838;838;2275;Firefox;47.0.0.5999;1;43;;0;1;0;1382
07.12.2016;19:05:35;Step 1;https://im-im2.hdm-stuttgart.de/;1877;281;;17427;808711;2;7;39;39;0;0;0;0;0;1328;;;;1917;;;;;0;;;2;0;1877;;;1;98;0;-1;53;-1;100;-1;-1;100;17427;808021;2;7;39;39;0;0;0;0;59;;;-1;;;;282;200;459640;215448;;;197899;80962;0;1;;194;;Medienmaster;439;1878;1880;868;868;2383;Firefox;47.0.0.5999;1;44;;0;2;0;1346
07.12.2016;19:06:13;Step 1;https://im-im2.hdm-stuttgart.de/;1871;254;;17427;808710;2;7;39;39;0;0;0;0;0;1257;;;;1914;;;;;0;;;2;0;1871;;;1;98;0;-1;53;-1;100;-1;-1;100;17427;808020;2;7;39;39;0;0;0;0;59;;;-1;;;;255;200;459640;215448;;;197899;80962;0;1;;194;;Medienmaster;420;1871;1873;758;758;2575;Firefox;47.0.0.5999;1;43;;0;3;0;1370
07.12.2016;19:06:49;Step 1;https://im-im2.hdm-stuttgart.de/;1904;265;;17427;808710;2;7;39;39;0;0;0;0;0;1270;;;;1948;;;;;0;;;2;0;1904;;;1;98;0;-1;53;-1;100;-1;-1;100;17427;808020;2;7;39;39;0;0;0;0;59;;;-1;;;;266;200;459640;215448;;;197899;80962;0;1;;194;;Medienmaster;416;1903;1906;883;883;2583;Firefox;47.0.0.5999;1;44;;0;4;0;1352
07.12.2016;19:07:29;Step 1;https://im-im2.hdm-stuttgart.de/;1895;269;;17427;808711;2;7;39;39;0;0;0;0;0;1293;;;;1941;;;;;0;;;2;0;1895;;;1;98;0;-1;53;-1;100;-1;-1;100;17427;808021;2;7;39;39;0;0;0;0;59;;;-1;;;;270;200;459640;215448;;;197899;80962;0;1;;194;;Medienmaster;433;1894;1896;917;917;2683;Firefox;47.0.0.5999;1;44;;0;5;0;1358
07.12.2016;19:08:06;Step 1;https://im-im2.hdm-stuttgart.de/;1908;274;;17427;808711;2;7;39;39;0;0;0;0;0;1326;;;;1957;;;;;0;;;2;0;1908;;;1;98;0;-1;53;-1;100;-1;-1;100;17077;808021;2;7;38;38;0;0;0;0;59;;;-1;;;;275;200;459640;215448;;;197899;80962;0;1;;194;;Medienmaster;427;1909;1911;930;930;2783;Firefox;47.0.0.5999;1;42;;0;6;0;1378
07.12.2016;19:08:44;Step 1;https://im-im2.hdm-stuttgart.de/;1865;277;;17427;808711;2;7;39;39;0;0;0;0;0;1268;;;;1908;;;;;0;;;2;0;1865;;;1;98;0;-1;53;-1;100;-1;-1;100;17427;808021;2;7;39;39;0;0;0;0;59;;;-1;;;;278;200;459640;215448;;;197899;80962;0;1;;194;;Medienmaster;432;1869;1871;821;821;2679;Firefox;47.0.0.5999;1;44;;0;7;0;1371
07.12.2016;19:09:21;Step 1;https://im-im2.hdm-stuttgart.de/;1886;268;;17427;808710;2;7;39;39;0;0;0;0;0;1267;;;;1929;;;;;0;;;2;0;1886;;;1;98;0;-1;53;-1;100;-1;-1;100;17427;808020;2;7;39;39;0;0;0;0;59;;;-1;;;;268;200;459640;215448;;;197899;80962;0;1;;194;;Medienmaster;423;1885;1888;900;908;2583;Firefox;47.0.0.5999;1;42;;0;8;0;1377
07.12.2016;19:09:58;Step 1;https://im-im2.hdm-stuttgart.de/;1882;292;;17427;808711;2;7;39;39;0;0;0;0;0;1378;;;;1920;;;;;0;;;2;0;1882;;;1;98;0;-1;53;-1;100;-1;-1;100;17427;808021;2;7;39;39;0;0;0;0;59;;;-1;;;;293;200;459640;215448;;;197899;80962;0;1;;194;;Medienmaster;463;1881;1884;781;781;2491;Firefox;47.0.0.5999;1;44;;0;9;0;1426
