Date;Time;Event Name;IP Address;Action;Host;URL;Response Code;Time to Load (ms);Time to First Byte (ms);Start Time (ms);Bytes Out;Bytes In;Object Size;Cookie Size (out);Cookie Count(out);Expires;Cache Control;Content Type;Content Encoding;Transaction Type;Socket ID;Document ID;End Time (ms);Descriptor;Lab ID;Dialer ID;Connection Type;Cached;Event URL;Pagetest Build;Measurement Type;Experimental;Event GUID;Sequence Number;Cache Score;Static CDN Score;GZIP Score;Cookie Score;Keep-Alive Score;DOCTYPE Score;Minify Score;Combine Score;Compression Score;ETag Score;Flagged;Secure;DNS Time;Connect Time;SSL Time;Gzip Total Bytes;Gzip Savings;Minify Total Bytes;Minify Savings;Image Total Bytes;Image Savings;Cache Time (sec);Real Start Time (ms);Full Time to Load (ms);Optimization Checked;CDN Provider;DNS Start;DNS End;DNS;;Connect Start;Connect End;TCP;;SSL Negotiation Start;SSL Negotiation End;SSL;;Initiator;Initiator Line;Initiator Column;Server Count;Server RTT;Run;Cached
07.02.2016;09:14:37;Step 1;193.174.13.86;POST;ocsp.pca.dfn.de;/OCSP-Server/OCSP;200;68;67;208;449;1894;1498;;;Tue, 12 Jul 2016 09:14:36 GMT;max-age=864000, public, no-transform, must-revalidate;application/ocsp-response;;3;45;;276;;;;;;;;;;;1;100;-1;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;864000;;;1;;136;164;28;;164;207;43;;0;0;0;;;;;1;43;1;0
07.02.2016;09:14:37;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/;200;51;43;279;163;3602;3450;;;Sat, 02 Jul 2016 10:14:37 GMT;max-age=3600;text/html;gzip;3;44;;330;;;;;;;;;;;2;50;-1;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;3600;;;1;;0;40;40;;40;74;34;;75;171;96;;;;;1;34;1;0
07.02.2016;09:14:37;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/style.css;200;57;44;401;65;1643;1538;;;Sun, 02 Jul 2017 09:14:37 GMT;max-age=31536000;text/css;gzip;3;44;;458;;;;;;;;;;;3;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;0;;;;;1;34;1;0
07.02.2016;09:14:37;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/stylehttp2.css;200;56;56;402;32;2017;1955;;;Sun, 02 Jul 2017 09:14:37 GMT;max-age=31536000;text/css;gzip;3;44;;458;;;;;;;;;;;4;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;0;;;;;1;34;1;0
07.02.2016;09:14:37;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/menu.css;200;57;56;402;28;1269;1207;;;Sun, 02 Jul 2017 09:14:37 GMT;max-age=31536000;text/css;gzip;3;44;;459;;;;;;;;;;;5;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;0;;;;;1;34;1;0
07.02.2016;09:14:37;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/footer.css;200;57;57;402;30;517;456;;;Sun, 02 Jul 2017 09:14:37 GMT;max-age=31536000;text/css;gzip;3;44;;459;;;;;;;;;;;6;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;0;;;;;1;34;1;0
07.02.2016;09:14:37;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/slider.css;200;56;56;403;26;770;710;;;Sun, 02 Jul 2017 09:14:37 GMT;max-age=31536000;text/css;gzip;3;44;;459;;;;;;;;;;;7;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;0;;;;;1;34;1;0
07.02.2016;09:14:37;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/animate1.css;200;56;56;403;31;2263;2201;;;Sun, 02 Jul 2017 09:14:37 GMT;max-age=31536000;text/css;gzip;3;44;;459;;;;;;;;;;;8;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;0;;;;;1;34;1;0
07.02.2016;09:14:37;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/animate2.css;200;90;59;404;31;1418;1356;;;Sun, 02 Jul 2017 09:14:37 GMT;max-age=31536000;text/css;gzip;3;44;;494;;;;;;;;;;;9;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;0;;;;;1;34;1;0
07.02.2016;09:14:37;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/bootstrap1.css;200;102;90;404;32;8210;8148;;;Sun, 02 Jul 2017 09:14:37 GMT;max-age=31536000;text/css;gzip;3;44;;506;;;;;;;;;;;10;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;0;;;;;1;34;1;0
07.02.2016;09:14:37;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/bootstrap2.css;200;114;105;404;32;7158;7096;;;Sun, 02 Jul 2017 09:14:37 GMT;max-age=31536000;text/css;gzip;3;44;;518;;;;;;;;;;;11;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;0;;;;;1;34;1;0
07.02.2016;09:14:37;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/bootstrap3.css;200;125;116;405;32;7213;7151;;;Sun, 02 Jul 2017 09:14:37 GMT;max-age=31536000;text/css;gzip;3;44;;530;;;;;;;;;;;12;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;0;;;;;1;34;1;0
07.02.2016;09:14:37;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/logos/logo-hdm.png;200;130;129;405;40;703;605;;;Mon, 01 Aug 2016 09:14:37 GMT;max-age=2592000;image/png;;3;44;;535;;;;;;;;;;;13;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;;0;0;0;;0;0;0;;;;;1;34;1;0
07.02.2016;09:14:37;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/slider/slider_games.jpg;200;346;128;406;38;59882;59815;;;Mon, 01 Aug 2016 09:14:37 GMT;max-age=2592000;image/jpeg;;3;44;;752;;;;;;;;;;;14;100;0;-1;-1;100;-1;-1;-1;63;-1;0;1;-1;-1;-1;0;0;0;0;59815;21712;2592000;;;1;;0;0;0;;0;0;0;;0;0;0;;;;;1;34;1;0
07.02.2016;09:14:37;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/slider/slider_games_100-50.jpg;200;189;128;406;43;3485;3453;;;Mon, 01 Aug 2016 09:14:37 GMT;max-age=2592000;image/jpeg;;3;44;;595;;;;;;;;;;;15;100;0;-1;-1;100;-1;-1;-1;67;-1;0;1;-1;-1;-1;0;0;0;0;3453;1129;2592000;;;1;;0;0;0;;0;0;0;;0;0;0;;;;;1;34;1;0
