Date;Time;Event Name;IP Address;Action;Host;URL;Response Code;Time to Load (ms);Time to First Byte (ms);Start Time (ms);Bytes Out;Bytes In;Object Size;Cookie Size (out);Cookie Count(out);Expires;Cache Control;Content Type;Content Encoding;Transaction Type;Socket ID;Document ID;End Time (ms);Descriptor;Lab ID;Dialer ID;Connection Type;Cached;Event URL;Pagetest Build;Measurement Type;Experimental;Event GUID;Sequence Number;Cache Score;Static CDN Score;GZIP Score;Cookie Score;Keep-Alive Score;DOCTYPE Score;Minify Score;Combine Score;Compression Score;ETag Score;Flagged;Secure;DNS Time;Connect Time;SSL Time;Gzip Total Bytes;Gzip Savings;Minify Total Bytes;Minify Savings;Image Total Bytes;Image Savings;Cache Time (sec);Real Start Time (ms);Full Time to Load (ms);Optimization Checked;CDN Provider;DNS Start;DNS End;DNS;;Connect Start;Connect End;TCP;;SSL Negotiation Start;SSL Negotiation End;SSL;;Initiator;Initiator Line;Initiator Column;Server Count;Server RTT;Run;Cached
07.12.2016;19:19:08;Step 1;193.174.13.86;POST;ocsp.pca.dfn.de;/OCSP-Server/OCSP;200;55;54;199;449;1893;1498;;;Fri, 22 Jul 2016 19:19:09 GMT;max-age=864000, public, no-transform, must-revalidate;application/ocsp-response;;3;45;;254;;;;;;;;;;;1;100;-1;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;864000;;;1;;125;154;29;;155;199;44;;0;0;0;;;;;1;44;1;0
07.12.2016;19:19:08;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/;200;49;41;256;310;4534;3451;;;Tue, 12 Jul 2016 20:19:09 GMT;max-age=3600;text/html;gzip;3;44;;305;;;;;;;;;;;2;50;-1;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;4534;0;0;0;0;0;3600;;;1;;0;29;29;;30;64;34;;64;161;97;;;;;1;34;1;0
07.12.2016;19:19:08;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/style.css;200;44;44;361;321;1933;1538;;;Wed, 12 Jul 2017 19:19:09 GMT;max-age=31536000;text/css;gzip;3;44;;405;;;;;;;;;;;3;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;1933;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;0;;;;;1;34;1;0
07.12.2016;19:19:08;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http1/stylehttp1.css;200;48;42;406;332;4581;4186;;;Wed, 12 Jul 2017 19:19:09 GMT;max-age=31536000;text/css;gzip;3;44;;454;;;;;;;;;;;4;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;4581;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;0;;;;;1;34;1;0
07.12.2016;19:19:08;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/slider.css;200;39;39;453;322;1104;710;;;Wed, 12 Jul 2017 19:19:09 GMT;max-age=31536000;text/css;gzip;3;50;;492;;;;;;;;;;;5;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;1104;0;0;0;0;0;31536000;;;1;;0;0;0;;362;410;48;;410;453;43;;;;;1;34;1;0
07.12.2016;19:19:08;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/js/slider.js;200;41;41;455;305;877;470;;;Wed, 12 Jul 2017 19:19:09 GMT;max-age=31536000;application/javascript;gzip;3;44;;496;;;;;;;;;;;6;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;877;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;0;;;;;1;34;1;0
07.12.2016;19:19:08;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http1/animate.css;200;52;47;456;329;4426;4030;;;Wed, 12 Jul 2017 19:19:09 GMT;max-age=31536000;text/css;gzip;3;51;;508;;;;;;;;;;;7;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;4426;0;0;0;0;0;31536000;;;1;;0;0;0;;362;410;48;;410;456;46;;;;;1;34;1;0
07.12.2016;19:19:08;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/js/jquery.min.js;200;205;59;459;309;30314;29902;;;Wed, 12 Jul 2017 19:19:09 GMT;max-age=31536000;application/javascript;gzip;3;52;;664;;;;;;;;;;;8;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;30314;0;0;0;0;0;31536000;;;1;;0;0;0;;363;410;47;;410;459;49;;;;;1;34;1;0
07.12.2016;19:19:08;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/bootstrap.css;200;178;59;464;331;21635;21237;;;Wed, 12 Jul 2017 19:19:09 GMT;max-age=31536000;text/css;gzip;3;53;;642;;;;;;;;;;;9;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;21635;0;0;0;0;0;31536000;;;1;;0;0;0;;364;410;46;;410;464;54;;;;;1;34;1;0
07.12.2016;19:19:08;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/js/jssor.slider.mini.js;200;156;47;469;316;18913;18502;;;Wed, 12 Jul 2017 19:19:09 GMT;max-age=31536000;application/javascript;gzip;3;54;;625;;;;;;;;;;;10;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;18913;0;0;0;0;0;31536000;;;1;;0;0;0;;379;421;42;;421;469;48;;;;;1;34;1;0
07.12.2016;19:19:08;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/js/wow.min.js;200;63;46;492;306;2870;2461;;;Wed, 12 Jul 2017 19:19:09 GMT;max-age=31536000;application/javascript;gzip;3;50;;555;;;;;;;;;;;11;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;2870;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;0;;;;;1;34;1;0
07.12.2016;19:19:08;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/js/http1/bootstrap.min.js;200;114;47;496;318;10174;9765;;;Wed, 12 Jul 2017 19:19:09 GMT;max-age=31536000;application/javascript;gzip;3;44;;610;;;;;;;;;;;12;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;10174;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;0;;;;;1;34;1;0
07.12.2016;19:19:08;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/logos/logo-hdm.png;200;46;46;650;319;946;605;;;Thu, 11 Aug 2016 19:19:09 GMT;max-age=2592000;image/png;;3;54;;696;;;;;;;;;;;13;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;;0;0;0;;0;0;0;;;;;1;34;1;0
07.12.2016;19:19:08;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/slider/slider_games.jpg;200;407;49;650;324;60160;59815;;;Thu, 11 Aug 2016 19:19:09 GMT;max-age=2592000;image/jpeg;;3;44;;1057;;;;;;;;;;;14;100;0;-1;-1;100;-1;-1;-1;63;-1;0;1;-1;-1;-1;0;0;0;0;59815;21712;2592000;;;1;;0;0;0;;0;0;0;;0;0;0;;;;;1;34;1;0
