Date;Time;Event Name;IP Address;Action;Host;URL;Response Code;Time to Load (ms);Time to First Byte (ms);Start Time (ms);Bytes Out;Bytes In;Object Size;Cookie Size (out);Cookie Count(out);Expires;Cache Control;Content Type;Content Encoding;Transaction Type;Socket ID;Document ID;End Time (ms);Descriptor;Lab ID;Dialer ID;Connection Type;Cached;Event URL;Pagetest Build;Measurement Type;Experimental;Event GUID;Sequence Number;Cache Score;Static CDN Score;GZIP Score;Cookie Score;Keep-Alive Score;DOCTYPE Score;Minify Score;Combine Score;Compression Score;ETag Score;Flagged;Secure;DNS Time;Connect Time;SSL Time;Gzip Total Bytes;Gzip Savings;Minify Total Bytes;Minify Savings;Image Total Bytes;Image Savings;Cache Time (sec);Real Start Time (ms);Full Time to Load (ms);Optimization Checked;CDN Provider;DNS Start;DNS End;;;Connect Start;Connect End;;;SSL Negotiation Start;SSL Negotiation End;;;Initiator;Initiator Line;Initiator Column;Server Count;Server RTT;Run;Cached
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/animate2.css;200;332;331;2370;31;1418;1356;;;Tue, 25 Jul 2017 15:37:44 GMT;max-age=31536000;text/css;gzip;3;53;;2702;;;;;;;;;;;13;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/bootstrap1.css;200;642;331;2370;32;8210;8148;;;Tue, 25 Jul 2017 15:37:44 GMT;max-age=31536000;text/css;gzip;3;53;;3012;;;;;;;;;;;14;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/bootstrap2.css;200;655;330;2371;32;7158;7096;;;Tue, 25 Jul 2017 15:37:44 GMT;max-age=31536000;text/css;gzip;3;53;;3026;;;;;;;;;;;15;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/bootstrap3.css;200;668;658;2371;32;7213;7151;;;Tue, 25 Jul 2017 15:37:44 GMT;max-age=31536000;text/css;gzip;3;53;;3039;;;;;;;;;;;16;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/logos/logo-hdm.png;200;673;672;2372;40;703;605;;;Wed, 24 Aug 2016 15:37:44 GMT;max-age=2592000;image/png;;3;53;;3045;;;;;;;;;;;17;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/slider/slider_games.jpg;200;1631;672;2372;38;59882;59815;;;Wed, 24 Aug 2016 15:37:44 GMT;max-age=2592000;image/jpeg;;3;53;;4003;;;;;;;;;;;18;100;0;-1;-1;100;-1;-1;-1;63;-1;0;1;-1;-1;-1;0;0;0;0;59815;21712;2592000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/slider/slider_games_100-50.jpg;200;974;672;2372;43;3485;3453;;;Wed, 24 Aug 2016 15:37:44 GMT;max-age=2592000;image/jpeg;;3;53;;3346;;;;;;;;;;;19;100;0;-1;-1;100;-1;-1;-1;67;-1;0;1;-1;-1;-1;0;0;0;0;3453;1129;2592000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/slider/slider_horads.jpg;200;1752;671;2373;39;114620;114584;;;Wed, 24 Aug 2016 15:37:44 GMT;max-age=2592000;image/jpeg;;3;53;;4125;;;;;;;;;;;20;100;0;-1;-1;100;-1;-1;-1;54;-1;0;1;-1;-1;-1;0;0;0;0;114584;51811;2592000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/slider/slider_horads_100-50.jpg;200;1011;671;2373;44;4362;4305;;;Wed, 24 Aug 2016 15:37:44 GMT;max-age=2592000;image/jpeg;;3;53;;3384;;;;;;;;;;;21;100;0;-1;-1;100;-1;-1;-1;60;-1;0;1;-1;-1;-1;0;0;0;0;4305;1700;2592000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/logos/mm31-300x116.png;200;1018;670;2374;37;3331;3299;;;Wed, 24 Aug 2016 15:37:44 GMT;max-age=2592000;image/png;;3;53;;3392;;;;;;;;;;;22;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
