"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"07/26/2016","17:33:54","Step 1","https://im-im2.hdm-stuttgart.de/","5864","489","","8572","833532","2","3","58","58","0","0","0","0","0","3379","","","","6178","","","","","0","","","2","0","5864","","","1","95","0","-1","-1","-1","100","-1","-1","100","8572","833045","2","3","58","58","0","0","0","0","59","","","-1","","","","489","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","2781","5860","5863","4700","4700","8280","Firefox","47.0.0.5999","1","308","Edgecast","0","1","0","5803",
"07/26/2016","17:34:21","Step 1","https://im-im2.hdm-stuttgart.de/","5570","450","","8091","830556","2","3","57","57","0","0","0","0","0","3076","","","","5885","","","","","0","","","2","0","5570","","","1","96","0","-1","-1","-1","100","-1","-1","100","8091","830069","2","3","57","57","0","0","0","0","59","","","-1","","","","450","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","2422","5567","5570","4443","4443","7955","Firefox","47.0.0.5999","1","309","Edgecast","0","2","0","5337",
"07/26/2016","17:34:49","Step 1","https://im-im2.hdm-stuttgart.de/","6493","339","","8404","833466","2","3","58","58","0","0","0","0","0","2983","","","","6806","","","","","0","","","2","0","6493","","","1","95","0","-1","-1","-1","100","-1","-1","100","8404","832978","2","3","58","58","0","0","0","0","59","","","-1","","","","339","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","2431","6491","6494","4533","4533","8819","Firefox","47.0.0.5999","1","310","Edgecast","0","3","0","5707",
"07/26/2016","17:35:18","Step 1","https://im-im2.hdm-stuttgart.de/","5703","410","","8091","830527","2","3","57","57","0","0","0","0","0","2983","","","","6030","","","","","0","","","2","0","5703","","","1","96","0","-1","-1","-1","100","-1","-1","100","8091","830040","2","3","57","57","0","0","0","0","59","","","-1","","","","410","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","2419","5696","5699","4474","4475","8065","Firefox","47.0.0.5999","1","309","Edgecast","0","4","0","5529",
"07/26/2016","17:35:46","Step 1","https://im-im2.hdm-stuttgart.de/","5634","341","","8619","833521","2","3","58","58","0","0","0","0","0","2983","","","","5947","","","","","0","","","2","0","5634","","","1","95","0","-1","-1","-1","100","-1","-1","100","8588","833034","2","3","58","58","0","0","0","0","59","","","-1","","","","341","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","2419","5624","5627","4476","4476","8055","Firefox","47.0.0.5999","1","308","Edgecast","0","5","0","5509",
"07/26/2016","17:36:14","Step 1","https://im-im2.hdm-stuttgart.de/","5686","316","","8576","833488","2","3","58","58","0","0","0","0","0","2968","","","","6001","","","","","0","","","2","0","5686","","","1","95","0","-1","-1","-1","100","-1","-1","100","8576","833001","2","3","58","58","0","0","0","0","59","","","-1","","","","316","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","2446","5699","5702","4495","4495","8055","Firefox","47.0.0.5999","1","309","Edgecast","0","6","0","5597",
"07/26/2016","17:36:42","Step 1","https://im-im2.hdm-stuttgart.de/","5583","544","","8091","830476","2","3","57","57","0","0","0","0","0","2991","","","","5895","","","","","0","","","2","0","5583","","","1","96","0","-1","-1","-1","100","-1","-1","100","8091","829988","2","3","57","57","0","0","0","0","59","","","-1","","","","544","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","2423","5568","5571","4330","4330","7968","Firefox","47.0.0.5999","1","309","Edgecast","0","7","0","5359",
"07/26/2016","17:37:09","Step 1","https://im-im2.hdm-stuttgart.de/","5599","423","","8661","833465","2","3","58","58","0","0","0","0","0","3082","","","","5911","","","","","0","","","2","0","5599","","","1","95","0","-1","-1","-1","100","-1","-1","100","8661","832978","2","3","58","58","0","0","0","0","59","","","-1","","","","423","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","2446","5584","5587","4519","4520","7970","Firefox","47.0.0.5999","1","312","Edgecast","0","8","0","5398",
"07/26/2016","17:37:37","Step 1","https://im-im2.hdm-stuttgart.de/","5560","329","","8699","833517","2","3","58","58","0","0","0","0","0","3077","","","","5857","","","","","0","","","2","0","5560","","","1","95","0","-1","-1","-1","100","-1","-1","100","8668","833029","2","3","58","58","0","0","0","0","59","","","-1","","","","329","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","2444","5543","5558","4348","4349","7955","Firefox","47.0.0.5999","1","312","Edgecast","0","9","0","5413",
