Date;Time;Event Name;URL;Load Time (ms);Time to First Byte (ms);unused;Bytes Out;Bytes In;DNS Lookups;Connections;Requests;OK Responses;Redirects;Not Modified;Not Found;Other Responses;Error Code;Time to Start Render (ms);Segments Transmitted;Segments Retransmitted;Packet Loss (out);Activity Time(ms);Descriptor;Lab ID;Dialer ID;Connection Type;Cached;Event URL;Pagetest Build;Measurement Type;Experimental;Doc Complete Time (ms);Event GUID;Time to DOM Element (ms);Includes Object Data;Cache Score;Static CDN Score;One CDN Score;GZIP Score;Cookie Score;Keep-Alive Score;DOCTYPE Score;Minify Score;Combine Score;Bytes Out (Doc);Bytes In (Doc);DNS Lookups (Doc);Connections (Doc);Requests (Doc);OK Responses (Doc);Redirects (Doc);Not Modified (Doc);Not Found (Doc);Other Responses (Doc);Compression Score;Host;IP Address;ETag Score;Flagged Requests;Flagged Connections;Max Simultaneous Flagged Connections;Time to Base Page Complete (ms);Base Page Result;Gzip Total Bytes;Gzip Savings;Minify Total Bytes;Minify Savings;Image Total Bytes;Image Savings;Base Page Redirects;Optimization Checked;AFT (ms);DOM Elements;PageSpeed Version;Page Title;Time to Title;Load Event Start;Load Event End;DOM Content Ready Start;DOM Content Ready End;Visually Complete (ms);Browser Name;Browser Version;Base Page Server Count;Base Page Server RTT;Base Page CDN;Adult Site;Run;Cached;Speed Index;domInteractive
07.02.2016;11:37:08;Step 1;https://im-im2.hdm-stuttgart.de;1788;282;;4591;812975;2;2;44;44;0;0;0;0;0;1224;;;;1822;;;;;0;;;2;0;1788;;;1;98;0;-1;-1;-1;100;-1;-1;100;4591;812477;2;2;44;44;0;0;0;0;59;;;-1;;;;283;200;0;0;;;197899;80962;0;1;;199;;Medienmaster;500;1788;1790;654;806;2183;Firefox;47.0.0.5999;1;44;;0;1;0;1262;639
07.02.2016;11:37:43;Step 1;https://im-im2.hdm-stuttgart.de;1770;263;;4591;812952;2;2;44;44;0;0;0;0;0;1168;;;;1806;;;;;0;;;2;0;1770;;;1;98;0;-1;-1;-1;100;-1;-1;100;4591;812477;2;2;44;44;0;0;0;0;59;;;-1;;;;264;200;0;0;;;197899;80962;0;1;;199;;Medienmaster;473;1778;1780;658;787;2474;Firefox;47.0.0.5999;1;44;;0;2;0;1234;653
07.02.2016;11:38:20;Step 1;https://im-im2.hdm-stuttgart.de;1740;279;;4817;812953;2;2;44;44;0;0;0;0;0;1168;;;;1772;;;;;0;;;2;0;1740;;;1;98;0;-1;-1;-1;100;-1;-1;100;4817;812478;2;2;44;44;0;0;0;0;59;;;-1;;;;280;200;0;0;;;197899;80962;0;1;;199;;Medienmaster;482;1731;1742;630;764;2174;Firefox;47.0.0.5999;1;44;;0;3;0;1256;627
07.02.2016;11:38:56;Step 1;https://im-im2.hdm-stuttgart.de;1732;269;;5018;813005;2;2;44;44;0;0;0;0;0;1146;;;;1767;;;;;0;;;2;0;1732;;;1;98;0;-1;-1;-1;100;-1;-1;100;5018;812507;2;2;44;44;0;0;0;0;59;;;-1;;;;270;200;0;0;;;197899;80962;0;1;;199;;Medienmaster;870;1731;1734;613;746;2183;Firefox;47.0.0.5999;1;44;;0;4;0;1171;609
07.02.2016;11:39:33;Step 1;https://im-im2.hdm-stuttgart.de;1787;279;;4591;812976;2;2;44;44;0;0;0;0;0;1191;;;;1819;;;;;0;;;2;0;1787;;;1;98;0;-1;-1;-1;100;-1;-1;100;4591;812478;2;2;44;44;0;0;0;0;59;;;-1;;;;280;200;0;0;;;197899;80962;0;1;;199;;Medienmaster;491;1783;1785;666;798;2586;Firefox;47.0.0.5999;1;44;;0;5;0;1251;651
07.02.2016;11:40:09;Step 1;https://im-im2.hdm-stuttgart.de;1821;279;;4591;812982;2;2;44;44;0;0;0;0;0;1211;;;;1855;;;;;0;;;2;0;1821;;;1;98;0;-1;-1;-1;100;-1;-1;100;4591;812507;2;2;44;44;0;0;0;0;59;;;-1;;;;280;200;0;0;;;197899;80962;0;1;;199;;Medienmaster;508;1821;1831;683;814;2574;Firefox;47.0.0.5999;1;46;;0;6;0;1253;670
07.02.2016;11:40:45;Step 1;https://im-im2.hdm-stuttgart.de;1789;275;;4591;812982;2;2;44;44;0;0;0;0;0;1209;;;;1831;;;;;0;;;2;0;1789;;;1;98;0;-1;-1;-1;100;-1;-1;100;4591;812484;2;2;44;44;0;0;0;0;59;;;-1;;;;276;200;0;0;;;197899;80962;0;1;;199;;Medienmaster;494;1789;1800;648;777;2375;Firefox;47.0.0.5999;1;41;;0;7;0;1274;646
07.02.2016;11:41:20;Step 1;https://im-im2.hdm-stuttgart.de;1778;282;;4591;812976;2;2;44;44;0;0;0;0;0;1140;;;;1814;;;;;0;;;2;0;1778;;;1;98;0;-1;-1;-1;100;-1;-1;100;4591;812478;2;2;44;44;0;0;0;0;59;;;-1;;;;282;200;0;0;;;197899;80962;0;1;;199;;Medienmaster;493;1787;1790;655;787;2482;Firefox;47.0.0.5999;1;45;;0;8;0;1158;640
07.02.2016;11:41:57;Step 1;https://im-im2.hdm-stuttgart.de;1763;262;;4591;813033;2;2;44;44;0;0;0;0;0;1173;;;;1810;;;;;0;;;2;0;1763;;;1;98;0;-1;-1;-1;100;-1;-1;100;4517;812535;2;2;43;43;0;0;0;0;59;;;-1;;;;263;200;0;0;;;197899;80962;0;1;;199;;Medienmaster;473;1763;1775;634;774;2483;Firefox;47.0.0.5999;1;41;;0;9;0;1238;629
